LEFT,RIGHT,DIFF,TrialLabel
2472.501563,1982.404688,-490.096875,Trial_1_Target_Q_Response_Q_n_17
2473.645313,1982.690625,-490.9546875,
2473.645313,1982.976563,-492.384375,
2473.645313,1983.2625,-494.1,
2473.645313,1983.548438,-495.815625,
2473.645313,1983.834375,-497.2453125,
2473.645313,1984.40625,-498.103125,
2473.645313,1985.264063,-498.103125,
2473.645313,1986.121875,-497.53125,
2473.645313,1987.265625,-496.1015625,
2473.645313,1988.409375,-494.671875,
2473.645313,1989.553125,-492.95625,
2473.645313,1990.410938,-491.5265625,
2473.645313,1990.982813,-490.3828125,
2473.645313,1991.26875,-489.8109375,
2473.645313,1991.26875,-489.8109375,
2473.645313,1990.410938,-490.9546875,
2473.645313,1989.267188,-492.6703125,
2473.645313,1988.123438,-494.671875,
2473.645313,1986.407813,-497.2453125,
2473.645313,1984.978125,-499.81875,
2473.645313,1983.548438,-502.10625,
2473.645313,1982.404688,-504.1078125,
2473.645313,1981.546875,-505.8234375,
2473.645313,1980.975,-506.68125,
2473.645313,1980.689063,-507.5390625,
2473.645313,1980.403125,-507.825,
2473.645313,1980.403125,-508.1109375,
2473.645313,1980.403125,-507.825,
2473.645313,1980.403125,-507.5390625,
2473.645313,1980.403125,-507.253125,
2473.645313,1980.403125,-506.9671875,
2473.645313,1980.403125,-506.3953125,
2473.645313,1980.689063,-505.5375,
2473.645313,1980.975,-504.6796875,
2473.645313,1981.832813,-503.5359375,
2473.645313,1982.690625,-502.10625,
2473.645313,1984.120313,-500.6765625,
2473.645313,1985.55,-498.9609375,
2473.645313,1987.265625,-497.2453125,
2473.645313,1988.409375,-496.3875,
2473.645313,1989.553125,-495.24375,
2473.645313,1990.410938,-494.3859375,
2473.645313,1990.410938,-494.3859375,
2473.645313,1989.839063,-494.671875,
2473.645313,1988.98125,-494.671875,
2473.645313,1987.551563,-495.24375,
2473.645313,1985.835938,-496.1015625,
2473.645313,1984.120313,-496.6734375,
2473.645313,1982.690625,-496.6734375,
2473.645313,1981.546875,-496.959375,
2473.645313,1980.689063,-496.959375,
2473.645313,1980.403125,-496.959375,
2473.645313,1980.689063,-496.6734375,
2473.645313,1981.260938,-496.6734375,
2473.645313,1981.832813,-497.2453125,
2473.645313,1982.690625,-497.53125,
2473.645313,1983.2625,-498.3890625,
2473.645313,1983.548438,-499.246875,
2473.645313,1983.2625,-500.6765625,
2473.645313,1982.690625,-501.8203125,
2473.645313,1981.832813,-502.9640625,
2473.645313,1980.689063,-504.1078125,
2473.645313,1979.259375,-504.965625,
2473.645313,1977.829688,-505.8234375,
2473.645313,1976.685938,-506.3953125,
2473.645313,1975.828125,-506.68125,
2473.645313,1974.970313,-507.253125,
2473.645313,1974.684375,-507.5390625,
2473.645313,1974.398438,-508.1109375,
2473.645313,1974.1125,-508.96875,
2473.645313,1973.826563,-509.8265625,
2473.645313,1973.254688,-510.684375,
2473.645313,1972.682813,-511.25625,
2473.645313,1971.825,-511.828125,
2473.645313,1970.68125,-512.1140625,
2473.645313,1969.5375,-511.5421875,
2473.645313,1968.679688,-510.3984375,
2473.645313,1968.107813,-508.6828125,
2473.645313,1967.821875,-506.68125,
2473.645313,1968.107813,-504.39375,
2473.645313,1968.679688,-502.10625,
2473.645313,1969.823438,-499.81875,
2473.645313,1970.967188,-498.103125,
2473.645313,1972.110938,-496.959375,
2473.645313,1973.254688,-496.6734375,
2473.645313,1973.826563,-496.959375,
2473.645313,1973.826563,-498.3890625,
2473.645313,1973.254688,-500.1046875,
2473.645313,1972.110938,-502.678125,
2473.645313,1970.68125,-504.965625,
2473.645313,1969.251563,-507.253125,
2473.645313,1967.535938,-509.540625,
2473.645313,1966.392188,-510.9703125,
2473.645313,1965.534375,-512.1140625,
2473.645313,1965.248438,-512.6859375,
2473.645313,1965.534375,-512.4,
2473.645313,1966.10625,-512.1140625,
2473.645313,1966.964063,-511.5421875,
2473.645313,1968.107813,-510.3984375,
2473.645313,1968.679688,-509.8265625,
2473.645313,1968.965625,-509.2546875,
2473.645313,1968.679688,-508.6828125,
2473.645313,1967.821875,-508.396875,
2473.645313,1966.392188,-508.396875,
2473.645313,1964.390625,-508.6828125,
2473.645313,1962.675,-508.6828125,
2473.645313,1960.673438,-509.2546875,
2473.645313,1959.24375,-509.2546875,
2473.645313,1958.671875,-508.96875,
2473.645313,1958.385938,-508.96875,
2473.645313,1958.957813,-508.6828125,
2473.645313,1959.815625,-508.396875,
2473.645313,1960.959375,-508.396875,
2473.645313,1962.389063,-508.396875,
2473.645313,1963.246875,-508.96875,
2473.645313,1963.532813,-509.8265625,
2473.645313,1963.246875,-510.9703125,
2473.645313,1961.817188,-512.4,
2473.645313,1960.101563,-513.8296875,
2473.645313,1957.814063,-515.259375,
2473.645313,1955.240625,-516.403125,
2473.645313,1952.953125,-516.975,
2473.645313,1950.951563,-517.2609375,
2473.645313,1949.521875,-517.2609375,
2473.645313,1948.664063,-516.975,
2473.645313,1948.95,-516.403125,
2473.645313,1949.807813,-515.83125,
2473.645313,1950.951563,-515.5453125,
2473.645313,1952.38125,-515.83125,
2473.645313,1953.525,-516.403125,
2473.645313,1954.382813,-517.546875,
2473.645313,1954.66875,-519.2625,
2473.645313,1954.096875,-521.2640625,
2473.645313,1952.953125,-522.9796875,
2473.645313,1950.951563,-524.409375,
2473.645313,1948.664063,-525.2671875,
2473.645313,1945.804688,-525.553125,
2473.645313,1943.23125,-524.98125,
2473.645313,1940.94375,-523.265625,
2473.645313,1938.942188,-520.978125,
2473.645313,1937.226563,-518.690625,
2473.645313,1936.36875,-516.1171875,
2473.645313,1935.796875,-514.115625,
2473.645313,1935.796875,-512.6859375,
2473.645313,1935.796875,-512.4,
2473.645313,1936.082813,-512.6859375,
2473.645313,1936.36875,-514.115625,
2473.645313,1936.654688,-516.1171875,
2473.645313,1936.654688,-518.690625,
2473.645313,1936.36875,-521.2640625,
2473.645313,1936.36875,-523.265625,
2473.645313,1936.082813,-524.6953125,
2473.645313,1936.082813,-525.2671875,
2473.645313,1935.796875,-525.553125,
2473.645313,1936.082813,-524.98125,
2473.645313,1936.36875,-524.1234375,
2473.645313,1936.654688,-523.265625,
2473.645313,1937.226563,-522.9796875,
2473.645313,1938.084375,-522.69375,
2473.645313,1938.942188,-523.265625,
2473.645313,1940.085938,-524.1234375,
2473.645313,1940.94375,-525.8390625,
2473.645313,1942.0875,-527.26875,
2473.645313,1942.945313,-528.984375,
2473.645313,1943.803125,-530.128125,
2473.645313,1944.375,-530.4140625,
2473.645313,1944.660938,-530.4140625,
2473.645313,1944.946875,-529.2703125,
2473.645313,1944.660938,-527.840625,
2473.645313,1944.375,-526.125,
2473.645313,1943.517188,-524.409375,
2473.645313,1942.659375,-523.265625,
2473.645313,1941.801563,-522.4078125,
2473.645313,1940.657813,-522.69375,
2473.645313,1940.085938,-523.5515625,
